亜,あ,10000000,auto
亜,つ,9990000,auto
唖,あ,10000000,auto
唖,あく,9990000,auto
唖,おし,9980000,auto
娃,あ,10000000,auto
娃,あい,9990000,auto
娃,わ,9980000,auto
娃,うつく,9970000,auto
阿,あ,10000000,auto
阿,お,9990000,auto
阿,おもね,9980000,auto
阿,くま,9970000,auto
哀,あわ,10000000,auto
哀,あい,9990000,auto
哀,かな,9980000,auto
愛,あい,10000000,auto
愛,いと,9990000,auto
愛,かな,9980000,auto
愛,め,9970000,auto
愛,お,9960000,auto
愛,まな,9950000,auto
挨,あい,10000000,auto
挨,ひら,9990000,auto
姶,おう,10000000,auto
姶,あい,9990000,auto
逢,あ,10000000,auto
逢,ほう,9990000,auto
逢,むか,9980000,auto
葵,あおい,10000000,auto
葵,き,9990000,auto
茜,あかね,10000000,auto
茜,せん,9990000,auto
穐,しゅう,10000000,auto
穐,あき,9990000,auto
穐,とき,9980000,auto
悪,わる,10000000,auto
悪,あく,9990000,auto
悪,お,9980000,auto
悪,あ,9970000,auto
悪,にく,9960000,auto
悪,ああ,9950000,auto
悪,いずくに,9940000,auto
悪,いずくんぞ,9930000,auto
握,にぎ,10000000,auto
握,あく,9990000,auto
渥,あく,10000000,auto
渥,あつ,9990000,auto
渥,うるお,9980000,auto
旭,きょく,10000000,auto
旭,あさひ,9990000,auto
葦,あし,10000000,auto
葦,い,9990000,auto
葦,よし,9980000,auto
葦,しお,9970000,auto
葦,しな,9960000,auto
葦,しぼ,9950000,auto
葦,な,9940000,auto
芦,ろ,10000000,auto
芦,あし,9990000,auto
芦,よし,9980000,auto
鯵,あじ,10000000,auto
鯵,そう,9990000,auto
梓,あずさ,10000000,auto
梓,し,9990000,auto
圧,あつ,10000000,auto
圧,えん,9990000,auto
圧,おう,9980000,auto
圧,お,9970000,auto
圧,へ,9960000,auto
圧,おさ,9950000,auto
斡,あつ,10000000,auto
斡,かん,9990000,auto
斡,わつ,9980000,auto
斡,めぐ,9970000,auto
扱,あつか,10000000,auto
扱,そう,9990000,auto
扱,きゅう,9980000,auto
扱,こ,9970000,auto
宛,あて,10000000,auto
宛,えん,9990000,auto
宛,あ,9980000,auto
宛,づつ,9970000,auto
宛,あたか,9960000,auto
姐,そ,10000000,auto
姐,しゃ,9990000,auto
姐,あね,9980000,auto
姐,ねえさん,9970000,auto
虻,ぼう,10000000,auto
虻,あぶ,9990000,auto
飴,あめ,10000000,auto
飴,い,9990000,auto
飴,し,9980000,auto
飴,やしな,9970000,auto
絢,けん,10000000,auto
綾,りん,10000000,auto
綾,あや,9990000,auto
鮎,あゆ,10000000,auto
鮎,でん,9990000,auto
鮎,ねん,9980000,auto
鮎,なまず,9970000,auto
或,あ,10000000,auto
或,わく,9990000,auto
或,こく,9980000,auto
或,いき,9970000,auto
或,あるい,9960000,auto
或,あるいは,9950000,auto
粟,あわ,10000000,auto
粟,ぞく,9990000,auto
粟,しょく,9980000,auto
粟,そく,9970000,auto
粟,もみ,9960000,auto
袷,こう,10000000,auto
袷,きょう,9990000,auto
袷,あわせ,9980000,auto
安,やす,10000000,auto
安,あん,9990000,auto
庵,いおり,10000000,auto
庵,あん,9990000,auto
